273,El señor de la guerra,Andrew Niccol,2005,,DVD66
328,El septimo sello,Ingmar Bergman,1957,,DVD8
268,El sexto día,Roger Spottiswoode,2000,,DVD64
126,El síndrome de China,James Bridges,1978,null,DVD33
902,El soplón,Steven Soderbergh,2009,,DVD104
883,El submarino,Wolfgang Petersen,1981,,DVD99
176,El sueño de Casandra,Woody Allen,2007,,DVD42
32,El tercer hombre,Orson Welles,1949,,DVD15
84,El truco final,Christopher Nolan,2006,,DVD25
161,El trueno azul,John Badham,1982,,DVD4
151,El ultimatum de Bourne,Paul Greengrass,2007,,DVD38
1023,El último bailarín de Mao,Bruce Beresford,2009,,DVD139
458,El último Emperador,Bernardo Bertolluci,1987,null,DVD90
383,El ultimo samurai,Edward Zwick,2004,DVD'R,DVD'R
156,En busca de Bobby Fischer,David Zailian,1993,,DVD39
90,En busca de la felicidad,Gabriele Muccino,2006,null,DVD26
30,Encadenados,Alfred Hitchcock,1946,null,DVD15
59,Encuentros en la 3ª  fase,Steven Spielberg,1977,,DVD2
254,En el punto de mira,Kari Skogland,2002,,DVD61
870,Enemigos públicos,Michael Mann,2009,,DVD96
989,En la habitación,Todd Field,2001,,DVD119
918,En tierra hostil,Kathryn Bigelow,2008,,DVD109
413,Entrevista con el vampiro,Neil Jordan,1994,Divx,CD'R
205,Epidemic,Lars Von Trier,1987,,DVD49
433,Erin Brockovich,Steven Soderbergh,2000,DVD'R,DVD'R
289,Estado de sitio,Edward Zwick,1998,,DVD7
58,Europa,Lars Von Trier,1991,,DVD2
248,Eyes Wide Shut,Stanley Kubrick,1999,,DVD6
947,Fahrenheit 451,François Truffaut,1966,,DVD123
390,Fallen,Gregory Hoblit,1998,Divx(16:9),CD'R
282,Fanny y Alexander,Ingmar Bergman,1982,,DVD68
396,Fargo,Joel & Ethan Coen,1995,null,CD'R
447,Farinelli il castrato,Gerard Corbiau,1994,,DVD87
392,Final Fantasy,Hironobu Sakaguchi,2001,Divx (16:9),CD'R
158,Firefox,Clint Eastwood,1982,,DVD4
53,Firewall,Richard Loncraine,2006,Xvid,DVD19
921,Flor del desierto,Sherry Horman,2009,,DVD110
129,Frenesí,Alfred Hitchcock,1972,,DVD34
171,Frenético,Roman Polanski,1988,,DVD41
908,Frozen river,Courtney Hunt,2008,,DVD105
81,Fuerza 10 de Navarone,Guy Hamilton,1978,,DVD24
193,Funeral en Berlín,Guy Hamilton,1966,,DVD46
320,Gandhi,Richard Atenborough,1982,null,DVD77
368,Gattaca,Andrew Niccol,1997,Divx(16:9)/DVD,DVD'R
152,Gente Corriente,Robert Redford,1980,,DVD38
293,Gia,Michael Christofer,1997,,DVD70
1002,Gilda,Charles Vidor,1946,,DVD131
69,Gladiator,Ridley Scott,2000,,DVD22
1034,Gone baby gone,"Ben Affleck, Aaron Stockard",2007,,DVD142
442,Goodbye Lenin,Wolfgang Becker,2003,Divx (16:9),CD'R
